,Lat,Lon,Cls,species_present,Alt
4255,25.634735107421875,-80.34037017822266,Am,41301,6.0
4260,29.644197463989254,-82.36256408691406,Cfa,41301,25.0
4261,30.51862907409668,-84.24967193603516,Cfa,41301,50.0
4264,28.57036018371582,-80.99615478515625,Cfa,41301,7.0
4265,25.69293975830078,-80.43341827392578,Am,41301,10.0
4266,25.69294166564941,-80.43341064453125,Am,41301,10.0
4275,29.665834426879883,-82.32608795166016,Cfa,41301,44.0
4276,29.67922019958496,-82.39167785644531,Cfa,41301,38.0
4278,29.66205596923828,-82.33494567871094,Cfa,41301,39.0
4281,28.57036018371582,-80.99615478515625,Cfa,41301,7.0
4286,28.52652740478516,-81.35852813720703,Cfa,41301,34.0
4287,29.6442928314209,-82.363525390625,Cfa,41301,25.0
4289,29.66163825988769,-82.3521957397461,Cfa,41301,31.0
4293,29.58057975769043,-82.60658264160156,Cfa,41301,24.0
4294,29.679519653320312,-82.39195251464844,Cfa,41301,38.0
4298,29.664382934570312,-82.3329849243164,Cfa,41301,41.0
4302,29.732498168945312,-82.22173309326172,Cfa,41301,40.0
4308,25.637584686279297,-80.5389633178711,Aw,41301,7.0
4326,29.644132614135746,-82.3627700805664,Cfa,41301,25.0
4333,29.66399955749512,-82.33499908447266,Cfa,41301,40.0
4344,25.637584686279297,-80.5389633178711,Aw,41301,7.0
4349,29.66480255126953,-82.33316040039062,Cfa,41301,41.0
4364,29.661630630493164,-82.35198211669922,Cfa,41301,32.0
4365,29.67887306213379,-82.39315032958984,Cfa,41301,38.0
4371,29.66388511657715,-82.34872436523438,Cfa,41301,34.0
4372,29.64383316040039,-82.36278533935547,Cfa,41301,25.0
4375,29.644275665283203,-82.36225891113281,Cfa,41301,25.0
4408,26.292400360107425,-80.17748260498047,Am,41301,10.0
4409,28.577119827270508,-81.00045776367188,Cfa,41301,6.0
4412,29.66396141052246,-82.3369369506836,Cfa,41301,39.0
4416,29.66307258605957,-82.34720611572266,Cfa,41301,34.0
4419,29.644100189208984,-82.36292266845703,Cfa,41301,25.0
4425,25.847909927368164,-80.3388671875,Am,41301,3.0
4457,29.58060646057129,-82.60650634765625,Cfa,41301,24.0
4462,29.662036895751957,-82.33515930175781,Cfa,41301,39.0
4466,29.644052505493164,-82.36262512207031,Cfa,41301,25.0
4473,28.36410903930664,-81.20333862304688,Cfa,41301,32.0
4502,29.64423942565918,-82.36283111572266,Cfa,41301,25.0
4528,29.644460678100582,-82.36273956298828,Cfa,41301,25.0
4529,29.64392852783203,-82.36283874511719,Cfa,41301,25.0
4535,29.647306442260746,-82.32439422607422,Cfa,41301,35.0
4537,29.659513473510746,-82.35606384277344,Cfa,41301,31.0
4539,29.643728256225582,-82.3630142211914,Cfa,41301,24.0
4541,29.662010192871094,-82.33407592773438,Cfa,41301,39.0
4547,28.021583557128903,-82.60310363769531,Cfa,41301,9.0
4557,28.08127212524414,-82.42855072021484,Cfa,41301,26.0
4570,29.643932342529297,-82.36258697509766,Cfa,41301,25.0
4584,29.662776947021484,-82.33712768554688,Cfa,41301,39.0
4589,29.66172981262207,-82.4941635131836,Cfa,41301,28.0
4599,25.857511520385746,-81.03343963623047,Aw,41301,5.0
4606,28.52240753173828,-80.646728515625,Cfa,41301,5.0
4610,29.678773880004883,-82.39315795898438,Cfa,41301,38.0
4614,29.643611907958984,-82.36296081542969,Cfa,41301,24.0
4618,25.69293975830078,-80.43341827392578,Am,41301,10.0
4621,25.47364616394043,-80.3795166015625,Aw,41301,5.0
4634,29.643985748291016,-82.36263275146484,Cfa,41301,25.0
4640,25.729772567749023,-80.3229751586914,Am,41301,10.0
4642,29.662986755371094,-82.33609008789062,Cfa,41301,39.0
4644,25.56326103210449,-80.4461669921875,Am,41301,12.0
4645,29.661277770996094,-82.35498046875,Cfa,41301,31.0
4650,28.02159118652344,-82.6030502319336,Cfa,41301,9.0
4651,25.76146697998047,-80.87545776367188,Aw,41301,5.0
4660,28.489501953125,-81.37669372558594,Cfa,41301,32.0
4663,29.662988662719727,-82.33177947998047,Cfa,41301,41.0
4674,29.643882751464844,-82.36278533935547,Cfa,41301,25.0
4677,29.66573905944824,-82.33341979980469,Cfa,41301,40.0
4684,29.66485023498535,-82.3356704711914,Cfa,41301,40.0
4689,29.6789608001709,-82.39310455322266,Cfa,41301,38.0
4691,29.64401626586914,-82.36256408691406,Cfa,41301,25.0
4692,25.76146697998047,-80.87545776367188,Aw,41301,5.0
4697,25.67881965637207,-80.37351989746094,Am,41301,7.0
4699,29.664474487304688,-82.33082580566406,Cfa,41301,41.0
4702,29.659669876098636,-82.35578155517578,Cfa,41301,31.0
4716,29.643749237060547,-82.36250305175781,Cfa,41301,24.0
4721,29.66204261779785,-82.33548736572266,Cfa,41301,38.0
4726,29.66172981262207,-82.4941635131836,Cfa,41301,28.0
4731,29.66150665283203,-82.35151672363281,Cfa,41301,32.0
4741,29.644407272338867,-82.3626937866211,Cfa,41301,25.0
4753,25.727495193481445,-80.26036071777344,Am,41301,10.0
4762,29.64339637756348,-82.36351013183594,Cfa,41301,24.0
4765,29.73252296447754,-82.22173309326172,Cfa,41301,40.0
4768,29.644046783447266,-82.3626708984375,Cfa,41301,25.0
4774,25.75191879272461,-80.28199005126953,Am,41301,11.0
4795,31.19312286376953,-84.44527435302734,Cfa,41301,50.0
4817,29.66301727294922,-82.33654022216797,Cfa,41301,39.0
4835,29.66399955749512,-82.33499908447266,Cfa,41301,40.0
4836,29.666566848754883,-82.32618713378906,Cfa,41301,44.0
4840,29.664884567260746,-82.33524322509766,Cfa,41301,40.0
4844,29.66399955749512,-82.33499908447266,Cfa,41301,40.0
4863,27.778976440429688,-82.1397476196289,Cfa,41301,32.0
4865,29.643861770629883,-82.36279296875,Cfa,41301,25.0
4875,29.64423942565918,-82.36283111572266,Cfa,41301,25.0
4876,25.795448303222656,-80.85570526123047,Aw,41301,4.0
4896,26.710050582885746,-80.72328186035156,Am,41301,8.0
4906,29.64334487915039,-82.36235809326172,Cfa,41301,24.0
4913,28.601261138916016,-81.1986083984375,Cfa,41301,29.0
4915,25.68564796447754,-80.39933776855469,Am,41301,7.0
4920,29.67904090881348,-82.3917236328125,Cfa,41301,38.0
4926,27.538679122924805,-80.38951110839844,Cfa,41301,10.0
4934,29.644046783447266,-82.3626708984375,Cfa,41301,25.0
4936,25.77909469604492,-80.32747650146484,Am,41301,9.0
4938,29.64406013488769,-82.36306762695312,Cfa,41301,25.0
4947,25.76146697998047,-80.87545776367188,Aw,41301,5.0
4958,29.64379119873047,-82.3629150390625,Cfa,41301,25.0
4962,29.66354751586914,-82.33297729492188,Cfa,41301,41.0
4984,29.64406394958496,-82.36270904541016,Cfa,41301,25.0
4985,29.67940330505371,-82.39170837402344,Cfa,41301,38.0
5006,29.643911361694336,-82.36272430419922,Cfa,41301,25.0
5014,29.678865432739254,-82.39179229736328,Cfa,41301,38.0
5025,29.66846466064453,-82.33567810058594,Cfa,41301,40.0
5030,25.749042510986328,-80.4278335571289,Am,41301,7.0
5033,29.64422416687012,-82.36268615722656,Cfa,41301,25.0
5038,25.6387939453125,-80.47843170166016,Am,41301,7.0
5039,25.76060485839844,-80.47145080566406,Am,41301,12.0
5049,29.6777400970459,-82.39266967773438,Cfa,41301,38.0
5050,29.662843704223636,-82.3470687866211,Cfa,41301,34.0
5052,29.661163330078125,-82.34449768066406,Cfa,41301,34.0
5070,29.662857055664062,-82.33097839355469,Cfa,41301,41.0
5074,29.662494659423828,-82.33715057373047,Cfa,41301,38.0
5075,28.02154922485352,-82.60305786132812,Cfa,41301,9.0
5079,25.47364616394043,-80.3795166015625,Aw,41301,5.0
5080,29.67755699157715,-82.39270782470703,Cfa,41301,38.0
5083,29.644386291503903,-82.36297607421875,Cfa,41301,25.0
5098,29.642189025878903,-82.3636245727539,Cfa,41301,24.0
5100,29.15580177307129,-80.97076416015625,Cfa,41301,-3.0
5108,29.67862892150879,-82.39214324951172,Cfa,41301,38.0
5111,29.643953323364254,-82.36278533935547,Cfa,41301,25.0
5112,29.662826538085938,-82.3446273803711,Cfa,41301,35.0
5116,25.795448303222656,-80.85570526123047,Aw,41301,4.0
5117,28.144092559814453,-81.5257339477539,Cfa,41301,26.0
5118,29.66391372680664,-82.34806060791016,Cfa,41301,34.0
5124,25.77307891845703,-80.34168243408203,Am,41301,11.0
5125,29.68377685546875,-82.25418853759766,Cfa,41301,30.0
5160,29.66390609741211,-82.34903717041016,Cfa,41301,34.0
5169,26.331623077392575,-81.81160736083984,Aw,41301,9.0
5173,29.66477394104004,-82.3332748413086,Cfa,41301,41.0
5188,29.665021896362305,-82.33299255371094,Cfa,41301,41.0
5189,29.66172981262207,-82.4941635131836,Cfa,41301,28.0
5190,29.644046783447266,-82.3626708984375,Cfa,41301,25.0
5194,25.75992202758789,-80.47152709960938,Am,41301,10.0
5202,25.82859992980957,-80.38296508789062,Am,41301,9.0
5205,29.66146850585937,-82.33722686767578,Cfa,41301,38.0
5210,27.091482162475582,-80.29589080810547,Cfa,41301,11.0
5221,29.65917015075684,-82.31593322753906,Cfa,41301,43.0
5230,28.08127212524414,-82.42855072021484,Cfa,41301,26.0
5240,29.66392707824707,-82.34988403320312,Cfa,41301,34.0
5261,29.66172981262207,-82.4941635131836,Cfa,41301,28.0
5271,26.709657669067383,-80.7236557006836,Am,41301,8.0
5273,29.64404296875,-82.36285400390625,Cfa,41301,25.0
5277,28.0377197265625,-80.61858367919922,Cfa,41301,12.0
5278,25.637481689453125,-80.53014373779297,Aw,41301,9.0
5280,29.679502487182617,-82.3924789428711,Cfa,41301,38.0
5288,29.64401054382324,-82.36265563964844,Cfa,41301,25.0
5305,28.14408302307129,-81.52571868896484,Cfa,41301,26.0
5306,25.729663848876957,-80.32266235351562,Am,41301,6.0
5310,25.729656219482425,-80.32301330566406,Am,41301,10.0
5311,28.594606399536133,-80.83443450927734,Cfa,41301,10.0
5320,29.66482353210449,-82.33406066894531,Cfa,41301,40.0
5327,29.64377212524414,-82.36294555664062,Cfa,41301,25.0
5334,29.662086486816406,-82.33189392089844,Cfa,41301,39.0
5335,29.664766311645508,-82.33077239990234,Cfa,41301,42.0
5337,29.66394424438477,-82.3348388671875,Cfa,41301,40.0
5340,25.795499801635746,-80.85565185546875,Aw,41301,4.0
5341,29.64382743835449,-82.36299133300781,Cfa,41301,25.0
5344,25.84073638916016,-80.39167022705078,Am,41301,10.0
5348,26.44133949279785,-81.92588806152344,Aw,41301,5.0
5349,29.857725143432617,-81.29544830322266,Cfa,41301,3.0
5350,25.76261138916016,-80.91914367675781,Aw,41301,7.0
5355,25.67876243591309,-80.447265625,Am,41301,10.0
5372,29.66288948059082,-82.34349822998047,Cfa,41301,36.0
5375,29.662572860717773,-82.34223175048828,Cfa,41301,36.0
5377,29.644031524658203,-82.3626480102539,Cfa,41301,25.0
5378,29.732481002807617,-82.22166442871094,Cfa,41301,40.0
5381,29.66205596923828,-82.33494567871094,Cfa,41301,39.0
5387,28.33732414245605,-81.53580474853516,Cfa,41301,37.0
5403,29.661296844482425,-82.35464477539062,Cfa,41301,31.0
5405,29.640609741210938,-82.24623107910156,Cfa,41301,22.0
5409,30.330678939819336,-81.65834045410156,Cfa,41301,12.0
5410,26.677095413208008,-80.29148864746094,Af,41301,15.0
5414,28.50480461120605,-81.7499008178711,Cfa,41301,43.0
5432,29.643796920776367,-82.36280822753906,Cfa,41301,25.0
5435,26.003921508789062,-81.52149200439453,Aw,41301,7.0
5436,29.64385032653809,-82.36278533935547,Cfa,41301,25.0
5445,29.664857864379883,-82.3344955444336,Cfa,41301,40.0
5450,28.165267944335938,-80.6745376586914,Cfa,41301,9.0
5456,29.644197463989254,-82.36285400390625,Cfa,41301,25.0
